GL Account Number,GL Account Name ,Account type ,Mapping
101000,Capital Stock,Liability,Non- P&L 
101001,Capital Stock - Preferred Shared,Liability,Non- P&L 
104000,Paid in Surplus,Liability,Non- P&L 
104100,Share Capital Premiums Asset Restructuring,Liability,Non- P&L 
105000,Treasury Stock,Liability,Non- P&L 
106200,Group Conversion Reserves,Liability,Non- P&L 
108000,Consolidated Reserves,Liability,Non- P&L 
111000,Retained Earn-Prior Year (L),Liability,Non- P&L 
111001,Retained Earn-Prior Year (M),Liability,Non- P&L 
111002,Retained Earn-Dividend,Liability,Non- P&L 
111100,Reserves-Net Investment Hedge,Liability,Non- P&L 
111103,Reserves-Net Invst Hedge Inc Tax,Liability,Non- P&L 
111104,Rsv-Act Diff & Asst Ceiling,Liability,Non- P&L 
111105,Rsv-Act Diff & Asst Ceiling Inc Tax,Liability,Non- P&L 
151090,Accr Legal Purchase Accounting,Liability,Non- P&L 
151091,Accr Legal Reserve,Liability,Non- P&L 
151095,Litigation > €250k followed by Legal Department,Liability,Non- P&L 
151400,Provision for Income Tax Risks,Liability,Non- P&L 
151600,Purchase Accounting Accrual,Liability,Non- P&L 
151601,Environmental Accrual,Liability,Non- P&L 
151700,Other Prov for Risks & Charges - NC,Liability,Non- P&L 
151790,Other Prov for Risks & Charges - C,Liability,Non- P&L 
152000,Accr Pension Liability,Liability,Non- P&L 
152001,Accr Unfunded Pension Liability,Liability,Non- P&L 
152002,Accr Pension Liability - Financial,Liability,Non- P&L 
152010,Accr Pension Payments,Liability,Non- P&L 
152020,Accr Pension Payments - Closed Plan,Liability,Non- P&L 
152200,Accr IAS 19 Benefits,Liability,Non- P&L 
152201,Accr IAS 19 Benefits - Financial,Liability,Non- P&L 
152210,IAS 19 Payments,Liability,Non- P&L 
152220,Unfunded ERP,Liability,Non- P&L 
152500,Accr Land Reclam - Primary C,Liability,Non- P&L 
152501,Accr Land Reclam - Primary NC,Liability,Non- P&L 
152502,Accr Land Reclam - Secondary C,Liability,Non- P&L 
152503,Accr Land Reclam - Secondary NC,Liability,Non- P&L 
152504,Provision for Dismantling,Liability,Non- P&L 
152505,Accr Land Reclam Progressive Damage,Liability,Non- P&L 
152600,Severance Reserve,Liability,Non- P&L 
152619,Provision for Dismantling of Assets related to a Lease Contr,Liability,Non- P&L 
152800,Provision for Restructuring Cost,Liability,Non- P&L 
152801,Accr Group Medical,Liability,Non- P&L 
